,Entity's Name,LOC Count,Header Count,Inner Entities Lines,Total,Entity Type
,funcaoDePreProcessador,12,0,0,12,FUNCTION
,funcaoDeDeclaracaoDeVariaveisLocais,24,0,0,24,FUNCTION
,funcaoDeUsoDeVariaveisGlobais,28,0,0,28,FUNCTION
,funcaoDeUsoDeVariaveisLocaisEOperadores,51,0,0,51,FUNCTION
,prompt,4,0,0,4,FUNCTION
,readNum,4,0,0,4,FUNCTION
,sqrNum,4,0,0,4,FUNCTION
,funcaoDeUsoDeComandoDeControle,156,0,0,156,FUNCTION
,funcaoDeMatriz,3,0,0,3,FUNCTION
,funcaoDeMatriz2,3,0,0,3,FUNCTION
,funcaoDeMatriz3,3,0,0,3,FUNCTION
,funcaoUsandoMatrizes,22,0,0,22,FUNCTION
,funcaoDePonteiro,3,0,0,3,FUNCTION
,funcaoDePonteiro2,3,0,0,3,FUNCTION
,funcaoUsandoPonteiros,26,0,0,26,FUNCTION
,funcaoInterna,7,0,0,7,INNER_FUNCTION
,funcao_principal,5,0,7,12,FUNCTION
,funcaoInterna,7,0,0,7,INNER_FUNCTION
,funcao1_1,5,0,7,12,FUNCTION
,funcaoInterna,7,0,0,7,INNER_FUNCTION
,funcao2,5,0,7,12,FUNCTION
,funcaoInterna,7,0,0,7,INNER_FUNCTION
,funcao3,6,0,7,13,FUNCTION
,funcaoInterna,7,0,0,7,INNER_FUNCTION
,funcao4,7,0,7,14,FUNCTION
,funcao5,3,0,0,3,FUNCTION
,estrutura1,6,0,0,6,STRUCT
,estrutura2,6,0,0,6,STRUCT
,,6,0,0,6,STRUCT
,estrutura3,9,0,0,9,STRUCT
,funcaoUsandoEstrutura,21,0,0,21,FUNCTION
,funcaoDeMembroDeEstrutura,3,0,0,3,FUNCTION
,funcaoDeEstrutura,4,0,0,4,FUNCTION
,union1,6,0,0,6,UNION
,union2,6,0,0,6,UNION
,,6,0,0,6,UNION
,union3,9,0,0,9,UNION
,funcaoUsandoUnion,21,0,0,21,FUNCTION
,funcaoDeMembroDeUnion,3,0,0,3,FUNCTION
,funcaoDeUnion,4,0,0,4,FUNCTION
,enumeration,4,0,0,4,ENUM
,funcaoUsandoEnum,11,0,0,11,FUNCTION
,estrutura4,6,0,0,6,STRUCT
,,6,0,0,6,STRUCT
,funcaoUsandoTypedef,11,0,0,11,FUNCTION
,main,10,0,0,10,FUNCTION
,GenericFile.c,16,21,570,607,FILE
Total,,586,294,605,607
