,./ProjetoGenerico/Algoritmos/UsandoFuncoes.cpp,./ProjetoGenerico/Classes/TEMPLATE.CPP,./ProjetoGenerico/Algoritmos/UsandoVariaveisGlobaisELocais.cpp,./ProjetoGenerico/Header/Header.h,./ProjetoGenerico/Algoritmos/UsandoMatrizesEPonteiros.cpp,./ProjetoGenerico/Outros Arquivos/limits-structnest.cpp,./ProjetoGenerico/Algoritmos/UsandoEstruturasDeControle.cpp,./ProjetoGenerico/Classes/TratamentoDeExcecoes.cpp,./ProjetoGenerico/Outros Arquivos/c11-align-1.cpp,./ProjetoGenerico/Classes/CLASSES1.CPP,./ProjetoGenerico/Algoritmos/Teste.cpp,./ProjetoGenerico/Algoritmos/Diretivas.cpp,./ProjetoGenerico/Classes/EnumsStructsEUnions.cpp,./ProjetoGenerico/Outros Arquivos/limits-declparen.cpp,./ProjetoGenerico/Classes/UsandoClassesEVariaveis.cpp,./ProjetoGenerico/Outros Arquivos/limits-exprparen.cpp,./ProjetoGenerico/Outros Arquivos/limits-ifs.cpp
com,1,1,11,0,2,0,1,1,0,1,0,4,1,0,0,0,0
funcao,3,0,3,1,8,0,1,0,0,0,0,3,20,0,3,0,0
de,4,2,10,7,11,0,7,3,0,2,0,8,55,0,2,0,0
string,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
data,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0
completo,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0
parametro,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
entr,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
main,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0
local,7,0,93,0,0,0,71,0,0,0,0,0,0,0,3,0,0
toda,1,1,1,0,1,0,1,1,0,1,0,2,1,0,0,0,0
estrutura,1,1,1,6,1,0,2,1,0,1,0,1,33,0,0,0,0
protoripo,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uso,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
prototipo,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
para,1,0,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0
aplicativo,2,2,2,0,2,0,2,2,0,2,0,2,2,0,0,0,0
um,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0
abaixo,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sem,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sobrecarregada,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iostream,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0
cpp,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
c,2,1,1,1,1,0,1,1,4,1,0,2,1,0,0,0,1
lima,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0
e,1,2,4,0,2,0,1,1,2,2,0,3,3,0,1,0,0
var,3,1,90,3,5,0,0,3,0,8,0,0,91,1,0,1,0
em,2,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0
valor,3,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0
autor,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0
alia,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es,4,0,3,0,2,0,1,0,0,1,0,1,2,0,0,0,0
o,2,0,5,0,0,0,3,0,0,0,0,6,0,0,0,0,0
gome,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0
espa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
