,Entity's Name,LOC Count,Header Count,Inner Entities Lines,Total,Entity Type
,funcc,2,0,0,2,FUNCTION
,GenericClass1,5,0,0,5,METHOD
,GenericClass1,4,0,0,4,METHOD
,GenericClass1,5,0,0,5,METHOD
,setNome,4,0,0,4,METHOD
,getNome,4,0,0,4,METHOD
,printUniversal,3,0,0,3,METHOD
,printUniversal2,3,0,0,3,METHOD
,~GenericClass1,3,0,0,3,METHOD
,GenericClass1,9,0,31,40,CLASS
,GenericClass2,13,0,0,13,CLASS
,GenericClass2::GenericClass2,4,0,0,4,FUNCTION
,GenericClass2::GenericClass2,4,0,0,4,FUNCTION
,GenericClass2::GenericClass2,3,0,0,3,FUNCTION
,GenericClass2::setNome,4,0,0,4,FUNCTION
,GenericClass2::getNome,4,0,0,4,FUNCTION
,metodoGenerico,3,0,0,3,METHOD
,GenericClass3,6,0,3,9,CLASS
,operator,3,0,0,3,FUNCTION
,GenericClass4,2,0,0,2,METHOD
,GenericClass4,8,0,5,13,CLASS
,GenericClass5,2,0,0,2,METHOD
,metodoVirtual,2,0,0,2,METHOD
,GenericClass5,4,0,4,8,CLASS
,metodoGenerico1,2,0,0,2,METHOD
,GenericClassInterna1,3,0,2,5,CLASS
,ena,1,0,0,1,ENUM
,metodoGenerico,3,0,0,3,METHOD
,GenericClass6,6,0,9,15,CLASS
,main,10,0,0,10,FUNCTION
,CLASSES1.CPP,4,2,129,135,FILE
,funcaoDeMembroDeEstrutura,3,0,0,3,FUNCTION
,estrutura1,6,0,0,6,STRUCT
,estrutura2,6,0,0,6,STRUCT
,,6,0,0,6,STRUCT
,estrutura3,9,0,0,9,STRUCT
,funcaoDeEstrutura,4,0,0,4,FUNCTION
,funcaoUsandoEstrutura,20,0,0,20,FUNCTION
,union1,6,0,0,6,UNION
,union2,6,0,0,6,UNION
,,6,0,0,6,UNION
,union3,9,0,0,9,UNION
,funcaoDeMembroDeUnion,3,0,0,3,FUNCTION
,funcaoDeUnion,4,0,0,4,FUNCTION
,funcaoUsandoUnion,20,0,0,20,FUNCTION
,enumeration,4,0,0,4,ENUM
,funcaoUsandoEnum,11,0,0,11,FUNCTION
,estrutura4,6,0,0,6,STRUCT
,,6,0,0,6,STRUCT
,funcaoUsandoTypedef,11,0,0,11,FUNCTION
,main,2,0,0,2,FUNCTION
,EnumsStructsEUnions.cpp,0,1,148,149,FILE
,templateTeste1,2,0,0,2,FUNCTION
,classeTemplate,2,0,0,2,METHOD
,classeTemplate,3,0,2,5,CLASS
,main,2,0,0,2,FUNCTION
,TEMPLATE.CPP,2,1,9,12,FILE
,TrataErro1::TrataErro1,2,0,0,2,METHOD
,usandoThrow,3,0,0,3,METHOD
,TrataErro1,3,0,5,8,CLASS
,main,9,0,0,9,FUNCTION
,TratamentoDeExcecoes.cpp,2,2,17,21,FILE
,funcaoGlobal,5,0,0,5,FUNCTION
,classeInterna,7,0,0,7,CLASS
,metodoDaClasseGlobal,5,0,7,12,METHOD
,classeGlobal,7,0,12,19,CLASS
,UsandoClassesEVariaveis.cpp,3,1,24,28,FILE
Total,,338,7,407,345
